Marital_status,Application_mode,Application_order,Course,schedule_attendance,Previous_qualification,Previous_qualification_grade,Nationality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
single,General Admission Phases,High Preference,Management,daytime,High School Level,130.0,Portuguese,High Educated,Low Educated,Professional/Managerial,Unskilled Labor,131.4,no,no,no,yes,male,no,34,no,0,5,6,5,12.4,0,0,5,9,5,13.43,0,13.9,-0.3,0.79,Non Dropout
single,Mature and International Students,High Preference,Biofuel Production Technologies,evening,High School Level,130.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Agriculture,102.5,no,no,yes,no,male,no,37,no,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout
single,Mature and International Students,High Preference,Informatics Engineering,evening,High School Level,133.1,Portuguese,Unknown,Low Educated,Student,Student,128.8,yes,no,no,yes,male,no,43,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
single,Transfers and Course Changes,High Preference,Management,evening,High School Level,140.0,Portuguese,Low Educated,Low Educated,Agriculture,Agriculture,122.9,no,no,no,yes,female,no,55,no,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
divorced,Mature and International Students,High Preference,Management,daytime,High School Level,120.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Unskilled Labor,Professional/Managerial,113.9,yes,no,no,yes,female,no,39,no,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Non Dropout
single,Prior Higher Education Holders,High Preference,Equinculture,evening,Specialized Technical,120.0,European (Non-Portuguese),High Educated,High Educated,Professional/Managerial,Agriculture,120.0,no,no,yes,no,female,no,20,yes,2,6,13,3,11.67,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout
single,General Admission Phases,Medium Preference,Journalism and Communication,evening,High School Level,126.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,121.1,no,no,yes,yes,female,no,18,no,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
single,General Admission Phases,High Preference,Management,evening,High School Level,133.0,Portuguese,High Educated,Medium-Low Educated,Professional/Managerial,Machine/Vehicle Operators,120.4,yes,no,no,yes,female,no,22,no,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Non Dropout
single,General Admission Phases,Low Preference,Nursing,evening,High School Level,103.0,Portuguese,Medium Educated,High Educated,Professional/Managerial,Professional/Managerial,100.6,yes,yes,no,yes,female,no,22,no,0,7,9,5,13.93,0,0,8,9,7,14.34,0,11.1,0.6,2.02,Non Dropout
single,General Admission Phases,High Preference,Journalism and Communication,evening,High School Level,120.0,Portuguese,Medium Educated,Low Educated,Service/Sales,Service/Sales,121.4,no,no,no,no,female,no,20,no,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
single,Mature and International Students,High Preference,Management,daytime,High School Level,133.1,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,109.7,no,no,no,yes,female,no,29,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
single,General Admission Phases,High Preference,Management,daytime,High School Level,154.0,Portuguese,Low Educated,Low Educated,Professional/Managerial,Service/Sales,134.1,no,no,no,yes,female,no,24,no,0,5,9,2,11.5,0,0,5,11,3,14.33,1,7.6,2.6,0.32,Non Dropout
single,General Admission Phases,High Preference,Social Service,evening,High School Level,130.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Unskilled Labor,Unskilled Labor,127.6,yes,no,no,yes,female,no,18,no,0,6,6,6,11.67,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Non Dropout
single,General Admission Phases,Low Preference,Nursing,evening,High School Level,132.0,Portuguese,Low Educated,Medium-Low Educated,Machine/Vehicle Operators,Machine/Vehicle Operators,132.4,yes,no,no,yes,female,yes,22,no,0,7,8,6,13.52,0,0,8,9,7,13.77,0,11.1,0.6,2.02,Non Dropout
single,Prior Higher Education Holders,High Preference,Social Service,daytime,Specialized Technical,130.0,Portuguese,Medium Educated,Medium-Low Educated,Unskilled Labor,Unskilled Labor,133.4,no,no,no,yes,female,yes,21,no,3,6,6,6,11.5,0,2,6,7,6,13.29,0,12.4,0.5,1.79,Non Dropout
single,General Admission Phases,High Preference,Social Service,evening,High School Level,139.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,126.1,no,no,no,yes,female,yes,19,no,0,6,7,5,12.33,0,0,6,7,6,12.83,0,12.7,3.7,-1.7,Non Dropout
single,Mature and International Students,High Preference,Tourism,evening,High School Level,130.0,Portuguese,Medium-Low Educated,Low Educated,Unskilled Labor,Machine/Vehicle Operators,113.5,no,no,no,yes,female,yes,24,no,0,6,6,6,13.67,0,0,6,6,6,14.17,0,12.4,0.5,1.79,Non Dropout
single,General Admission Phases,High Preference,Nursing,evening,High School Level,139.0,Portuguese,Low Educated,Low Educated,Agriculture,Agriculture,121.3,yes,no,no,yes,female,yes,19,no,0,8,10,6,11.83,0,0,8,10,6,11.83,0,9.4,-0.8,-3.12,Non Dropout
single,General Admission Phases,High Preference,Journalism and Communication,evening,High School Level,127.0,Portuguese,Medium Educated,Medium-Low Educated,Machine/Vehicle Operators,Machine/Vehicle Operators,121.8,yes,no,no,yes,female,yes,20,no,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Non Dropout
single,General Admission Phases,Medium Preference,Equinculture,evening,High School Level,167.0,Portuguese,Low Educated,Low Educated,Others,Others,159.3,no,no,no,yes,female,no,19,no,0,5,7,5,14.71,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Non Dropout
single,Mature and International Students,High Preference,Management,daytime,High School Level,130.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,120.0,no,no,no,yes,female,no,27,no,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
single,General Admission Phases,High Preference,Nursing,evening,High School Level,130.0,Portuguese,Medium Educated,Medium-Low Educated,Service/Sales,Service/Sales,129.1,yes,no,no,yes,female,no,18,no,0,7,9,7,13.04,0,0,8,10,8,13.6,0,15.5,2.8,-4.06,Non Dropout
married,Prior Higher Education Holders,High Preference,Tourism,evening,Bachelor Level,130.0,Portuguese,Medium Educated,High Educated,Professional/Managerial,Professional/Managerial,130.0,no,no,no,yes,female,no,39,no,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
single,Mature and International Students,High Preference,Equinculture,evening,Bachelor Level,129.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,155.3,yes,no,no,yes,female,no,27,no,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
single,General Admission Phases,High Preference,Nursing,evening,High School Level,141.0,Portuguese,Low Educated,Low Educated,Machine/Vehicle Operators,Military,139.8,yes,no,no,yes,female,no,18,no,0,8,8,8,14.94,0,0,8,8,8,14.94,0,9.4,-0.8,-3.12,Non Dropout
single,General Admission Phases,Medium Preference,Animation and Multimedia Design,evening,High School Level,125.0,Portuguese,Low Educated,Low Educated,Professional/Managerial,Unskilled Labor,115.2,yes,no,no,yes,female,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Non Dropout
single,General Admission Phases,High Preference,Nursing,evening,High School Level,125.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Unskilled Labor,Unskilled Labor,114.9,no,no,no,yes,female,no,18,no,0,7,8,6,13.13,0,0,8,12,7,12.22,0,16.2,0.3,-0.92,Non Dropout
single,Prior Higher Education Holders,High Preference,Social Service,evening,Specialized Technical,130.0,Portuguese,Medium-Low Educated,Medium Educated,Unskilled Labor,Unskilled Labor,131.9,no,no,no,yes,female,yes,21,no,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Non Dropout
single,General Admission Phases,Medium Preference,Animation and Multimedia Design,evening,High School Level,133.0,Portuguese,Medium Educated,Low Educated,Professional/Managerial,Machine/Vehicle Operators,126.0,yes,no,no,yes,male,yes,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Non Dropout
single,General Admission Phases,High Preference,Communication Design,evening,High School Level,127.0,Portuguese,Medium Educated,Medium Educated,Professional/Managerial,Professional/Managerial,130.2,yes,no,no,yes,male,no,19,no,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Non Dropout
single,Transfers and Course Changes,High Preference,Communication Design,evening,High School Level,116.0,Portuguese,Medium Educated,Medium Educated,Professional/Managerial,Professional/Managerial,120.9,no,no,no,yes,male,no,24,no,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Non Dropout
divorced,Transfers and Course Changes,High Preference,Nursing,evening,High School Level,133.1,Portuguese,Medium Educated,Medium Educated,Service/Sales,Service/Sales,126.0,yes,no,no,yes,male,no,29,no,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout
single,General Admission Phases,Medium Preference,Animation and Multimedia Design,evening,High School Level,139.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Service/Sales,Professional/Managerial,128.2,yes,no,no,yes,male,yes,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Non Dropout
single,Prior Higher Education Holders,High Preference,Agronomy,evening,Specialized Technical,130.0,Portuguese,Medium-Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,130.0,yes,no,no,yes,male,no,23,no,0,6,8,6,12.57,0,0,6,7,6,12.43,0,8.9,1.4,3.51,Non Dropout
single,General Admission Phases,Medium Preference,Management,evening,High School Level,125.0,Portuguese,Medium Educated,Low Educated,Machine/Vehicle Operators,Machine/Vehicle Operators,120.1,no,no,yes,yes,male,no,19,no,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
single,Mature and International Students,High Preference,Tourism,evening,High School Level,160.0,Portuguese,Medium-Low Educated,Low Educated,Machine/Vehicle Operators,Military,100.0,no,no,no,yes,male,no,26,no,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Non Dropout
single,General Admission Phases,High Preference,Management,evening,High School Level,148.0,Portuguese,Low Educated,Low Educated,Service/Sales,Service/Sales,134.0,no,no,no,yes,male,no,18,no,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Non Dropout
single,General Admission Phases,High Preference,Nursing,evening,High School Level,150.0,Portuguese,Low Educated,Medium-Low Educated,Machine/Vehicle Operators,Professional/Managerial,130.8,no,no,no,yes,male,no,24,no,0,7,8,7,11.98,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Non Dropout
single,General Admission Phases,High Preference,Animation and Multimedia Design,evening,High School Level,141.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Service/Sales,Military,135.8,yes,no,no,yes,male,no,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,General Admission Phases,Medium Preference,Tourism,evening,High School Level,118.0,Portuguese,Low Educated,Low Educated,Service/Sales,Machine/Vehicle Operators,111.7,yes,no,no,yes,male,no,18,no,0,6,12,3,11.67,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout
single,General Admission Phases,High Preference,Journalism and Communication,evening,High School Level,142.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,132.9,yes,no,no,yes,male,no,18,no,0,6,8,6,12.33,0,0,6,11,3,12.33,0,10.8,1.4,1.74,Non Dropout
single,General Admission Phases,Medium Preference,Management,evening,High School Level,120.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Professional/Managerial,Machine/Vehicle Operators,115.5,yes,no,yes,yes,male,no,18,no,0,5,8,3,10.33,0,0,5,11,3,10.86,0,10.8,1.4,1.74,Dropout
single,General Admission Phases,Medium Preference,Tourism,evening,High School Level,106.0,Portuguese,Medium-Low Educated,Low Educated,Machine/Vehicle Operators,Machine/Vehicle Operators,106.0,yes,no,no,yes,male,yes,21,no,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout
single,General Admission Phases,Medium Preference,Journalism and Communication,evening,High School Level,121.0,Portuguese,Medium Educated,Medium-Low Educated,Unskilled Labor,Machine/Vehicle Operators,120.3,yes,no,yes,yes,male,yes,19,no,0,6,6,6,13.67,0,0,6,6,6,13.33,0,8.9,1.4,3.51,Non Dropout
single,General Admission Phases,Medium Preference,Nursing,evening,High School Level,150.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,130.8,no,no,no,yes,male,yes,22,no,0,7,7,7,14.84,0,0,8,9,8,15.06,0,16.2,0.3,-0.92,Non Dropout
married,Mature and International Students,High Preference,Social Service,daytime,High School Level,120.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Agriculture,117.0,no,no,no,yes,male,no,33,no,0,6,8,6,12.0,0,0,6,6,6,11.67,0,10.8,1.4,1.74,Non Dropout
single,General Admission Phases,Low Preference,Basic Education,evening,High School Level,114.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Unskilled Labor,Unskilled Labor,110.2,yes,no,no,yes,male,no,20,no,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
single,Mature and International Students,High Preference,Management,daytime,Bachelor Level,140.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,155.7,yes,no,no,yes,male,no,35,no,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,Mature and International Students,High Preference,Agronomy,evening,Master and Doctorate,160.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,180.4,no,no,yes,yes,male,no,24,no,6,12,17,6,12.17,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
single,General Admission Phases,High Preference,Tourism,evening,High School Level,120.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Professional/Managerial,Professional/Managerial,125.5,no,no,no,yes,male,no,18,no,0,5,6,5,12.0,0,0,5,8,3,11.33,0,12.7,3.7,-1.7,Non Dropout
married,Mature and International Students,High Preference,Social Service,daytime,High School Level,130.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Agriculture,110.0,yes,no,no,yes,female,no,33,no,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Non Dropout
single,Transfers and Course Changes,High Preference,Nursing,evening,High School Level,160.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Machine/Vehicle Operators,161.0,yes,no,no,yes,female,yes,22,no,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Non Dropout
single,Mature and International Students,High Preference,Advertising and Marketing Management,evening,High School Level,120.0,Portuguese,Medium Educated,Medium-Low Educated,Professional/Managerial,Service/Sales,100.0,no,no,no,yes,female,yes,25,no,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Non Dropout
single,General Admission Phases,High Preference,Communication Design,evening,High School Level,124.0,Portuguese,Medium-Low Educated,Low Educated,Professional/Managerial,Student,117.6,yes,no,no,yes,male,no,20,no,0,6,9,6,10.67,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Non Dropout
single,General Admission Phases,Low Preference,Management,evening,High School Level,143.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,128.7,yes,no,no,yes,male,no,23,no,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Non Dropout
single,Transfers and Course Changes,High Preference,Informatics Engineering,evening,High School Level,115.0,Portuguese,Low Educated,Medium-Low Educated,Unskilled Labor,Agriculture,112.2,yes,no,yes,yes,male,no,18,no,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Non Dropout
single,Mature and International Students,High Preference,Nursing,evening,High School Level,133.1,Portuguese,Medium Educated,Medium Educated,Professional/Managerial,Military,100.8,no,no,no,yes,male,no,24,no,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout
single,General Admission Phases,High Preference,Journalism and Communication,evening,High School Level,133.1,Brazil,Medium-Low Educated,Medium Educated,Unskilled Labor,Unskilled Labor,105.0,yes,no,no,no,female,no,21,yes,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Non Dropout
single,Mature and International Students,High Preference,Equinculture,evening,High School Level,133.1,Brazil,Medium Educated,Medium Educated,Professional/Managerial,Professional/Managerial,100.0,no,no,no,yes,female,no,26,yes,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout
